Designator,Mid X,Mid Y,Rotation,Layer
C1,174.48,-38.801,270.0,top
C2,172.956,-38.801,270.0,top
C3,171.402,-38.801,270.0,top
C4,169.878,-38.801,270.0,top
D1,222.8855,-109.172,0.0,top
D2,222.8855,-112.728,0.0,top
D3,222.8855,-116.284,0.0,top
IC1,172.16,-46.768,270.0,top
J1,202.136,-38.56,90.0,top
R10,219.0505,-112.728,0.0,top
R11,219.0505,-116.284,0.0,top
R12,205.946,-42.9815,90.0,top
R13,200.866,-42.9815,90.0,top
R14,203.914,-42.9815,90.0,top
R15,198.834,-42.9815,270.0,top
R16,135.08,-46.18,180.0,top
R17,135.0565,-48.212,180.0,top
R9,219.0505,-109.172,0.0,top
SW1,200.866,-68.024,90.0,top
SW10,194.262,-68.024,90.0,top
SW11,207.47,-68.024,90.0,top
SW12,214.074,-68.024,90.0,top
SW13,220.678,-68.024,90.0,top
SW14,207.47,-79.708,90.0,top
SW15,214.074,-79.708,90.0,top
SW16,200.866,-91.646,90.0,top
SW17,207.47,-91.646,90.0,top
SW18,214.074,-91.646,90.0,top
SW19,187.658,-103.584,90.0,top
SW2,141.43,-68.024,90.0,top
SW20,194.262,-103.584,90.0,top
SW21,200.866,-103.584,90.0,top
SW22,207.47,-103.584,90.0,top
SW23,141.43,-91.646,90.0,top
SW24,167.846,-103.584,90.0,top
SW25,154.638,-103.584,90.0,top
SW26,154.638,-91.646,90.0,top
SW27,154.638,-79.708,90.0,top
SW28,161.242,-91.646,90.0,top
SW29,167.846,-91.646,90.0,top
SW3,148.034,-68.024,90.0,top
SW30,174.45,-91.646,90.0,top
SW31,187.658,-79.708,90.0,top
SW32,181.054,-91.646,90.0,top
SW33,187.658,-91.646,90.0,top
SW34,194.262,-91.646,90.0,top
SW35,181.054,-103.584,90.0,top
SW36,174.45,-103.584,90.0,top
SW37,194.262,-79.708,90.0,top
SW38,200.866,-79.708,90.0,top
SW39,141.43,-79.708,90.0,top
SW4,154.638,-68.024,90.0,top
SW40,161.242,-79.708,90.0,top
SW41,148.034,-91.646,90.0,top
SW42,167.846,-79.708,90.0,top
SW43,181.054,-79.708,90.0,top
SW44,161.242,-103.584,90.0,top
SW45,148.034,-79.708,90.0,top
SW46,148.034,-103.584,90.0,top
SW47,174.45,-79.708,90.0,top
SW48,141.43,-103.584,90.0,top
SW49,134.826,-103.584,90.0,top
SW5,161.242,-68.024,90.0,top
SW50,134.826,-91.646,90.0,top
SW51,153.114,-115.522,90.0,top
SW52,145.494,-115.522,90.0,top
SW53,178.514,-115.522,90.0,top
SW54,136.096,-55.07,90.0,top
SW55,142.7,-55.07,90.0,top
SW56,149.304,-55.07,90.0,top
SW57,155.908,-55.07,90.0,top
SW58,162.512,-55.07,90.0,top
SW59,134.826,-67.972,90.0,top
SW6,167.846,-68.024,90.0,top
SW60,134.826,-79.708,90.0,top
SW61,181.562,-55.07,90.0,top
SW62,220.678,-55.07,90.0,top
SW63,198.072,-55.07,90.0,top
SW64,220.424,-85.55,90.0,top
SW65,165.306,-115.522,90.0,top
SW66,188.166,-55.07,90.0,top
SW67,204.676,-55.07,90.0,top
SW68,211.28,-55.07,90.0,top
SW69,194.77,-119.28,90.0,top
SW7,174.45,-68.024,90.0,top
SW70,200.866,-114.708,90.0,top
SW71,200.866,-123.852,270.0,top
SW72,206.962,-119.28,90.0,top
SW73,159.337,-41.81,90.0,top
SW8,181.054,-68.024,90.0,top
SW9,187.658,-68.024,90.0,top
