Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C3, C4, C5, C6, C9",0402,9,0.1uF,C1525
C12,Capacitor(C453487),1,470uF,C76438
C2,0805,1,15pF,C63339
C7,1210,1,100uF,C49066
C8,0402,1,1uF,C2887021
J4,MicroSD(C91145),1,Micro_SD_Card,C91145
J6,USB-C(C2927029),1,USB_C_Receptacle_PowerOnly_6P,C2927029
"R1, R2",0603,2,5.1K,C122969
"R10, R11, R12, R15, R16, R17, R18, R19, R20, R21, R22, R7, R8, R9",0402,14,3.3K,C2906923
"R13, R14",0402,2,100K,C2906859
"R3, R4, R5, R6",0402,4,22K,C2906913
SW1,SideSW (C2906286),1,SW_MEC_5G,C963235
SW2,Slide SW(C7431058),1,SW_SPDT,C7431058
SW3,DipSW4(C129043),1,SW_DIP_x04,C129043
U1,TangPrimer25K(UPPER),1,"The parts have no specific orientation.",C597938
U2,TangPrimer25K(LOWER),1,"The parts have no specific orientation.",C597938
U10,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,C82344
"U11, U12",TSOP-I-32_18.4x8mm_P0.5mm,2,~,C43651917
U3,CLOCK,1,~,C2901579
"U5, U6, U7, U8",QSPI-SRAM 4Mbit (8SOIC),4,~,C27585175
