Designator,Mid X,Mid Y,Rotation,Layer
C1,124.1,-53.73,270.0,top
C10,151.9,-68.975,90.0,top
C11,142.869,-68.985,90.0,top
C12,161.65,-47.6,0.0,top
C13,122.255,-106.963,0.0,top
C2,126.29,-58.06,180.0,top
C3,143.534,-109.122,180.0,top
C4,143.605,-115.599,180.0,top
C5,152.495,-109.122,180.0,top
C6,152.495,-115.599,180.0,top
C7,96.3,-100.225,90.0,top
C8,165.477,-104.832,270.0,top
C9,157.59,-57.07,90.0,top
J4,118.072,-113.5,0.0,top
J6,159.63,-33.145,180.0,top
R1,160.55,-38.925,270.0,top
R10,135.118,-99.47,0.0,top
R11,135.118,-100.613,180.0,top
R12,135.118,-101.756,180.0,top
R13,166.8,-116.486,270.0,top
R14,166.8,-112.553,270.0,top
R15,135.118,-102.899,180.0,top
R16,135.122,-104.042,180.0,top
R17,135.122,-105.185,180.0,top
R18,135.118,-106.328,180.0,top
R19,157.185,-58.75,180.0,top
R2,158.8,-38.925,270.0,top
R20,157.185,-62.275,180.0,top
R21,157.185,-59.925,180.0,top
R22,157.185,-61.1,180.0,top
R3,121.269,-105.439,0.0,top
R4,121.269,-104.296,0.0,top
R5,121.269,-103.153,0.0,top
R6,121.269,-102.01,0.0,top
R7,133.473,-43.31,90.0,top
R8,135.118,-97.184,0.0,top
R9,135.118,-98.327,0.0,top
SW1,84.025,-43.7,90.0,top
SW2,166.765,-46.1,270.0,top
SW3,88.49,-108.11,90.0,top
U1,141.2,-46.66,0.0,top
U10,161.695,-60.1625,0.0,top
U11,142.65,-77.805,270.0,top
U12,151.6,-77.825,270.0,top
U2,141.21,-60.65,0.0,top
U3,126.3,-54.45,270.0,top
U5,141.4,-112.195,0.0,top
U6,141.4,-118.665,0.0,top
U7,150.3,-112.195,0.0,top
U8,150.3,-118.665,0.0,top
