Designator,Mid X,Mid Y,Rotation,Layer
C1,102.5866,-94.5144,270.0,top
C10,146.6556,-86.544,90.0,top
C11,144.4432,-112.932,0.0,top
C12,171.27,-50.067,180.0,top
C2,102.612,-86.5388,90.0,top
C3,113.4324,-94.4636,270.0,top
C4,113.4832,-86.544,90.0,top
C5,124.2528,-94.4128,270.0,top
C6,124.2528,-86.4652,90.0,top
C7,135.378,-94.362,270.0,top
C8,135.4288,-86.544,90.0,top
C9,146.6556,-94.362,270.0,top
R1,144.8795,-105.947,0.0,top
R2,144.8795,-103.915,0.0,top
R3,144.8795,-101.883,0.0,top
R4,160.6237,-101.8576,180.0,top
R5,160.6237,-103.8896,180.0,top
R6,160.6237,-105.9216,180.0,top
U3,108.092,-90.509,0.0,top
U4,118.887,-90.509,0.0,top
U5,129.809,-90.509,0.0,top
U6,141.023,-90.509,0.0,top
U7,152.453,-90.509,0.0,top
U8,152.777,-110.457,90.0,top
